FIPS,NAMELSAD,median_renter_wage
0600000US4205581240,Washington township,41393.0
0600000US4200510344,Burrell township,18750.0
0600000US4200516728,Cowanshannock township,39000.0
0600000US4200521160,East Franklin township,58824.0
0600000US4200526512,Ford City borough,27500.0
0600000US4200527784,Freeport borough,31360.0
0600000US4200529184,Gilpin township,35682.0
0600000US4200535936,Hovey township,71250.0
0600000US4200540040,Kittanning borough,22747.0
0600000US4200540056,Kittanning township,21250.0
0600000US4200546632,Mahoning township,32404.0
0600000US4200547064,Manorville borough,38125.0
0600000US4200554728,North Apollo borough,31875.0
0600000US4200554856,North Buffalo township,29097.0
0600000US4200557976,Parker city,21172.0
0600000US4210535400,Homer township,40000.0
0600000US4208781784,Wayne township,30192.0
0600000US4205530944,Greene township,57282.0
0600000US4210500836,Allegany township,0.0
0600000US4200558160,Parks township,27543.0
0600000US4200560280,Pine township,19750.0
0600000US4200561576,Plumcreek township,44500.0
0600000US4200563560,Rayburn township,35000.0
0600000US4212915912,Cook township,18750.0
0600000US4212967240,St. Clair township,24125.0
0600000US4212978656,Unity township,47902.0
0600000US4212900332,Adamsburg borough,42031.0
0600000US4212903088,Arnold city,24496.0
0600000US4207919616,Dorrance township,38333.0
0600000US4200571968,South Bend township,42500.0
0600000US4200571976,South Bethlehem borough,18750.0
0600000US4200572000,South Buffalo township,64000.0
0600000US4200574992,Sugarcreek township,14620.0
0600000US4200579528,Valley township,21667.0
0600000US4212903688,Avonmore borough,17708.0
0600000US4212907480,Bolivar borough,28750.0
0600000US4205512536,Chambersburg borough,37418.0
0600000US4206133808,Henderson township,44167.0
0600000US4206135688,Hopewell township,0.0
0600000US4206138608,Juniata township,47500.0
0600000US4201909528,Bruin borough,48125.0
0600000US4212918768,Delmont borough,24450.0
0600000US4207953960,Newport township,30053.0
0600000US4207961048,Pittston city,24904.0
0600000US4212918960,Derry borough,29167.0
0600000US4212919472,Donegal borough,0.0
0600000US4212921976,East Vandergrift borough,34722.0
0600000US4212924432,Export borough,39750.0
0600000US4212936288,Hunker borough,0.0
0600000US4200526520,Ford Cliff borough,28125.0
0600000US4204767344,St. Marys city,29432.0
0600000US4206143424,Lincoln township,44063.0
0600000US4206144344,Logan township,23250.0
0600000US4206149552,Mill Creek borough,20417.0
0600000US4200765400,Rochester township,27813.0
0600000US4206149624,Miller township,0.0
0600000US4206151080,Morris township,64063.0
0600000US4206151984,Mount Union borough,27125.0
0600000US4200581720,Wayne township,32083.0
0600000US4200583248,West Kittanning borough,38750.0
0600000US4200586560,Worthington borough,0.0
0600000US4209769600,Shamokin city,19844.0
0600000US4213126752,Forkston township,51667.0
0600000US4210532848,Harrison township,23125.0
0600000US4212943232,Ligonier borough,34063.0
0600000US4212944864,Lower Burrell city,42436.0
0600000US4212945200,Loyalhanna township,39375.0
0600000US4212947000,Manor borough,0.0
0600000US4212950344,Monessen city,22339.0
0600000US4212953160,New Alexandria borough,22000.0
0600000US4209743912,Little Mahanoy township,21250.0
0600000US4209751496,Mount Carmel borough,27958.0
0600000US4209751504,Mount Carmel township,18239.0
0600000US4209755456,Northumberland borough,36250.0
0600000US4209765112,Riverside borough,0.0
0600000US4208740016,Kistler borough,0.0
0600000US4209771688,Snydertown borough,58438.0
0600000US4209787280,Zerbe township,48333.0
0600000US4206117280,Cromwell township,34167.0
0600000US4206156808,Oneida township,22500.0
0600000US4206158832,Penn township,61563.0
0600000US4206165496,Rockhill borough,36875.0
0600000US4206170408,Shirleysburg borough,26250.0
0600000US4206173072,Springfield township,25625.0
0600000US4206173488,Spruce Creek township,51250.0
0600000US4208703040,Armagh township,40690.0
0600000US4208709288,Brown township,27188.0
0600000US4208710256,Burnham borough,39071.0
0600000US4208738640,Juniata Terrace borough,46932.0
0600000US4210516448,Coudersport borough,29350.0
0600000US4202121896,East Taylor township,23750.0
0600000US4209720976,East Chillisquaque township,63750.0
0600000US4209746120,McEwensville borough,37917.0
0600000US4209761832,Point township,30147.0
0600000US4209775304,Sunbury city,26809.0
0600000US4209777832,Turbotville borough,25750.0
0600000US4209781304,Washington township,42250.0
0600000US4206177000,Todd township,32143.0
0600000US4206178328,Union township,17917.0
0600000US4206180560,Walker township,37212.0
0600000US4206181104,Warriors Mark township,51058.0
0600000US4208743000,Lewistown borough,22437.0
0600000US4208748664,Menno township,34231.0
0600000US4208754160,Newton Hamilton borough,42250.0
0600000US4208778392,Union township,30462.0
0600000US4209781616,Watsontown borough,31808.0
0600000US4209782680,West Cameron township,0.0
0600000US4208530968,Greene township,53500.0
0600000US4208537416,Jackson township,48472.0
0600000US4200508152,Bradys Bend township,0.0
0600000US4200546976,Manor township,0.0
0600000US4206182352,West township,54432.0
0600000US4206186080,Wood township,41979.0
0600000US4212550408,Monongahela city,31601.0
0600000US4212918968,Derry township,32165.0
0600000US4209115192,Collegeville borough,65952.0
0600000US4208570096,Shenango township,32361.0
0600000US4205581824,Waynesboro borough,26618.0
0600000US4201971184,Slippery Rock borough,19905.0
0600000US4201971192,Slippery Rock township,31250.0
0600000US4201975184,Summit township,41758.0
0600000US4201979504,Valencia borough,45962.0
0600000US4201983376,West Liberty borough,31250.0
0600000US4201985784,Winfield township,31094.0
0600000US4201987272,Zelienople borough,43680.0
0600000US4204981760,Wayne township,37143.0
0600000US4204982344,Wesleyville borough,27083.0
0600000US4204900000,County subdivisions not defined,0.0
0600000US4204924864,Fairview township,0.0
0600000US4201913152,Cherry Valley borough,63393.0
